renda,consumo,valor,maquina
1227.45,10,1.12,0
770.64,.3333333333,18.6,0
8201.45,4.666666667,4.086428571,1
1570.8,6.666666667,5.667,1
2717.46,6.666666667,7.197,1
3147,4.666666667,4.086428571,0
6917.53,6.666666667,21.6495,0
6447.96,23,9.537391304,1
32859.26,4.666666667,4.086428571,1
1415.34,2,9.725,0
1320.87,3.333333333,3.147,0
821.86,3.333333333,3.492,0
892.36,5,3.718,1
1679.7,11.33333333,4.067647059,1
1533.88,10.33333333,3.163548387,0
6867.58,9.666666667,3.542068966,1
2637.3,6.666666667,3.999,1
6535.46,9.666666667,6.730344828,1
987.64,8,2.32375,0
1862.18,7.666666667,4.06826087,1
1413.42,6.666666667,4.14,0
1963.05,4.666666667,4.086428571,0
5275.12,18.66666667,3.155357143,1
9204.21,26.66666667,2.629875,1
400.8,11.33333333,6.313235294,0
315.48,3.333333333,3.738,0
53,3.333333333,3.36,0
2566.61,707,.0467892504,0
601.2,452,.0803761062,1
397.95,3.333333333,3.147,1
1910.13,3.333333333,3.147,1
697.3,3.333333333,3.147,1
346.72,3.333333333,3.147,0
1004.58,3.333333333,3.366,1
731.18,268.3333333,.0390931677,0
2888,413.3333333,.0253790323,1
451.22,3.333333333,3.738,0
390.07,3.333333333,3.738,1
431.13,3.333333333,3.147,0
884.06,4.666666667,4.086428571,1
6019.43,4.666666667,4.086428571,1
4208.8,9.333333333,4.133571429,1
749.75,4.333333333,3.385384615,1
739.17,7,8.995714286,0
5423.88,3.333333333,3.291,0
2156.05,6.666666667,8.25,1
513.01,3.333333333,3.117,0
413.24,3.333333333,3.111,1
1064.1,3.333333333,2.811,0
2135.63,3.333333333,2.811,0
558.6,3.333333333,3.117,0
1268.57,3.333333333,3.111,0
1262.35,3.333333333,3.111,0
1007.96,3.333333333,3.111,0
825.42,3.333333333,3.111,0
911.08,4.333333333,3.521538462,1
1548.24,3.333333333,3.117,0
1704.48,21,7.291904762,1
1624.7,5.666666667,3.541764706,0
4545.7,15.33333333,4.743913043,1
1605.15,3.333333333,3.117,1
1222.5,4.666666667,3.143571429,1
624,3.333333333,3.117,0
955.2,3.333333333,3.117,0
769.4,4.333333333,3.385384615,1
4228.27,3.333333333,5.61,0
11185.83,3.333333333,5.61,1
1056.22,3.333333333,5.61,0
572.5,5,6.17,0
6267.81,16.66666667,8.7804,1
6782.08,3.333333333,6.729,1
6131,3.333333333,6.729,0
4804.04,3.333333333,4.5,1
6582.44,7.333333333,3.609545455,1
3674.75,95.33333333,.3555944056,1
1470.9,5,6.4,1
1050.43,65.33333333,.3847959184,1
3174,3.666666667,4.797272727,1
4354,12.66666667,2.320263158,0
924,8,4.14625,0
6629.6,8.333333333,4.98,0
1143,7.666666667,4.023913043,1
4532.24,4.666666667,3.458571429,0
6545.63,1120.333333,.0092740256,1
2800.89,4.333333333,3.385384615,0
4931.44,421,.0295961995,1
1120.4,223.3333333,.0571343284,0
6614.95,47,.265106383,1
988.67,3.333333333,4.299,1
7197.43,6.666666667,3.9585,1
1662.01,3.333333333,3.375,0
3377.98,10,3.099,1
1624.27,10,3.249,0
3428.02,3.333333333,2.811,1
723.94,3.333333333,3.117,0
2129.08,3.333333333,3.111,0
625.6,3.333333333,3.702,0
1212.61,3.333333333,3.738,0
2029.02,3.333333333,3.117,1
4870.25,3.333333333,5.61,1
1196.76,.3333333333,150,0
6430.96,5.666666667,7.646470588,1
565.61,3.333333333,3.738,0
4044.69,3.333333333,3.738,1
3698.14,4,4.0325,1
809.9,3.333333333,3.738,1
6654.98,7,4.772857143,1
2647.64,3.333333333,3.828,0
3723.21,10,2.514,1
